,track_id,song_id,artist_id,artist_name,song_title,genre,dot_match_1,dot_score_1,dot_match_2,dot_score_2,dot_match_3,dot_score_3,cov_match_1,cov_score_1,cov_match_2,cov_score_2,cov_match_3,cov_score_3,corr_match_1,corr_score_1,corr_match_2,corr_score_2,corr_match_3,corr_score_3,cossim_match_1,cossim_score_1,cossim_match_2,cossim_score_2,cossim_match_3,cossim_score_3,dotTFIDF_match_1,dotTFIDF_score_1,dotTFIDF_match_2,dotTFIDF_score_2,dotTFIDF_match_3,dotTFIDF_score_3,covTFIDF_match_1,covTFIDF_score_1,covTFIDF_match_2,covTFIDF_score_2,covTFIDF_match_3,covTFIDF_score_3,corrTFIDF_match_1,corrTFIDF_score_1,corrTFIDF_match_2,corrTFIDF_score_2,corrTFIDF_match_3,corrTFIDF_score_3,cossimTFIDF_match_1,cossimTFIDF_score_1,cossimTFIDF_match_2,cossimTFIDF_score_2,cossimTFIDF_match_3,cossimTFIDF_score_3
0,TRVYEUW128F148C08D,SOFCCWD12AF72A6BC0,ARXPPEY1187FB51DF4,Michael Jackson,All The Things You Are,blues,Interlude 5,3570.0,I'm A Winner (Amended Album Version),2865.0,Hot N Cold (Innerpartysystem Main),2436.0,Interlude 5,4.138199999999999,I'm A Winner (Amended Album Version),3.3693093750000003,Hot N Cold (Innerpartysystem Main),2.95577343750001,You're All The World To Me,0.7336968310393809,You're The Top,0.7271838626050462,You're A Soldier,0.6887269177639563,You're All The World To Me,0.73913808345401,You're The Top,0.7316274421252662,You're A Soldier,0.694669413787504,Happy Boys & Girls,108.95266031131071,Angel,101.61049527314846,Being With You,100.58760870915184,Happy Boys & Girls,0.11461210209096916,Being With You,0.10633677655567472,Baby Be Mine,0.10132398329466484,These Arms Of Mine,0.3338268050133829,Please Baby,0.2840742950004369,Baby Be Mine,0.2643398109394327,These Arms Of Mine,0.35382379729512425,Please Baby,0.3051595525279233,Baby Be Mine,0.30170735811526317
1,TRCXKPC128F92FD04C,SOEFNXT12AB017E829,ARZENOX1187B98A645,John Mayer,Vultures,blues,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),3132.0,Interlude 5,3012.0,I Mean (I Don't Mean It),2988.0,I Mean (I Don't Mean It),3.50526874999999,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),3.461068749999997,8 Mile,3.3624312500000086,Plastic World,0.6568703206763483,The Ups And Downs,0.6411269509265004,Keep Moving,0.6134740359507672,Plastic World,0.6692922727596603,The Ups And Downs,0.6557604034160445,Keep Moving,0.6349611011001333,Interlude 5,246.4825821114706,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),215.6073461275193,Honest Expression,200.28127094944304,Fire and Heights,0.1492023238177047,Mainstream,0.14315915967005902,Never Gonna Give You Up,0.13265033983240843,Never Gonna Give You Up,0.266908476260054,Fire and Heights,0.2615810013065227,Jerusalem,0.2548344826639173,Fire and Heights,0.3421506732540316,Never Gonna Give You Up,0.32940827919320403,Jerusalem,0.3182902209314574
2,TRMMALW128F92FD049,SOVUCRS12A58A7D207,ARZENOX1187B98A645,John Mayer,Out Of My Mind,blues,Interlude 5,4597.0,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),3722.0,I'm A Winner (Amended Album Version),3671.0,Interlude 5,5.327649999999998,I'm A Winner (Amended Album Version),4.315181249999995,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),4.302434374999995,Preacher On A Sunday Morning,0.6669323712356535,Ready For The Weekend,0.6648010039503683,Beyond Salvation,0.6619949063669038,Preacher On A Sunday Morning,0.6782620363865318,Ready For The Weekend,0.6750246601106777,Beyond Salvation,0.6703596100206974,Interlude 5,178.61903824220047,If I Had,162.43307034762321,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),155.14230418241527,If I Had,0.15170194478140175,Interlude 5,0.11663526023192171,Say Now,0.11527108174189943,Half Right,0.264818602170029,Hades Lady,0.24657499773370462,Sad Lover's Waltz,0.2441480542886448,Half Right,0.2977239544664077,If I Had,0.2921640239717054,Half Of My Mistakes,0.2764968207302844
3,TRJWAJC128F9327C4F,SORMDVX12AB01816AA,ARLMXEA1187B9A7D04,R. Kelly,Hump Bounce,blues,Interlude 5,5557.0,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),4567.0,I Want You,4088.0,Interlude 5,6.364350000000007,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),5.2221203124999995,I Want You,4.896135937499989,All I Do,0.6579208891618389,Overjoyed,0.6397699791344678,Day And Night,0.6306836382560363,All I Do,0.667718031491555,Overjoyed,0.6534939234987447,Day And Night,0.6430239888722205,Ear Drums Pop,207.07762687006067,1st Booty On Duty,197.7806105619291,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),196.09871987916364,Ear Drums Pop,0.16452041588604785,Let's All Get Drunk,0.15888242172574543,1st Booty On Duty,0.15483271271013072,Here We Go,0.301417285636223,Don't Stop,0.2948051861970324,Disco,0.29314565282763494,Here We Go,0.3460019266546868,Don't Stop,0.339255625264981,Here I Am (Come And Take Me),0.33139706999048885
4,TRPEBTH128F9327C4D,SOYTJAC12AF729F49D,ARLMXEA1187B9A7D04,R. Kelly,Intro - The Sermon,blues,Interlude 5,6673.0,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),5569.0,I'm A Winner (Amended Album Version),5237.0,Interlude 5,7.593749999999982,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),6.336132812500019,I'm A Winner (Amended Album Version),6.0577343750000034,Hook,0.7430112475755696,I Don't Want To Talk About It,0.742834840746948,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),0.7416846726916941,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),0.758552189169887,Hook,0.756381455883275,I Don't Want To Talk About It,0.7561220426091677,Interlude 5,386.3706230177961,Man In The Mirror,294.5114529659673,Honest Expression,281.1417357740439,Man In The Mirror,0.24848130900515789,Interlude 5,0.24490281548845658,Honest Expression,0.1876139693615449,The Way It Is,0.282788100711289,Pass The Mic (Pt. 2_ Skills To Pay The Bills) (2009 Digital Remaster),0.2700724555596224,Oh Well,0.2635720673885267,Pass The Mic (Pt. 2_ Skills To Pay The Bills) (2009 Digital Remaster),0.35258464957091423,Interlude 5,0.3430340905035263,The Way It Is,0.33825668397453373
5,TRNWHUD128F932E304,SOXUKQZ12AB01860EE,ARXPPEY1187FB51DF4,Michael Jackson,Call On Me,blues,Interlude 5,8789.0,I'm A Winner (Amended Album Version),7434.0,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),7016.0,Interlude 5,10.091550000000014,I'm A Winner (Amended Album Version),8.707784374999983,I Want You,8.426173437499976,G Up,0.8027120628514688,Club Megamix,0.7988456432230557,Hook,0.7916165377099591,G Up,0.8100800277820065,Club Megamix,0.8097786208426687,Hook,0.8019385595698869,Interlude 5,318.78860760677674,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),315.6372022753729,Just Right,271.10241459181435,Just Right,0.25692178294872775,I'm Gon' Change,0.18862640117406967,Oh Baby I,0.1876126910101873,Just Right,0.3209059754271076,Oh Baby I,0.29771596656992017,5:19,0.29373709373222323,Just Right,0.3835272957023939,Oh Baby I,0.36091538382648186,5:19,0.3492689868880622
6,TRFGGSX128F427A723,SOIBZAN12D02191BAF,ARS8GNX1187B9B5141,The Black Keys,Oceans and Streams,blues,Interlude 5,2328.0,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),2215.0,8 Mile,1918.0,Interlude 5,2.6109999999999984,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),2.5187031250000014,8 Mile,2.2087968749999995,Runaway,0.703824987969548,The Car Song,0.6949109189982319,I Don't Have Time To Stand Here With You Fighting About The Size Of My Dick,0.6864159482424174,Runaway,0.7156599537949512,The Car Song,0.7093541132995728,I Don't Have Time To Stand Here With You Fighting About The Size Of My Dick,0.7006955849653108,8 Mile,149.5988690591318,Man In The Mirror,137.7536234919156,Da Mystery Of Chessboxin',131.27990257475395,Man In The Mirror,0.10884926475401309,Dreams,0.1043157626134864,Living For Today,0.100036294938482,What Can I Say,0.23641812027629525,Dreams,0.2268792723221227,Time To Grow,0.2251760741248015,What Can I Say,0.2838778237769648,Time To Grow,0.2829780824267778,Dreams,0.2773085860343167
7,TRPTCMZ128F9340B09,SOLKOOO12AB018794A,ARS8GNX1187B9B5141,The Black Keys,10 A.M. Automatic,blues,Interlude 5,1913.0,I'm A Winner (Amended Album Version),1790.0,Man In The Mirror,1585.0,Interlude 5,2.1888499999999995,I'm A Winner (Amended Album Version),2.105225000000002,Man In The Mirror,1.807725000000003,Bad Tattoo,0.6446113692397293,Dimples,0.6116015460079236,Only You,0.6044967567223934,Bad Tattoo,0.6552596777324119,Dimples,0.6187185674368255,Only You,0.6164341452711488,Interlude 5,151.9749950372209,Hey Ya!,119.41702431327542,She Ain't Afraid,105.885959212277,Hey Ya!,0.12201836386939748,Interlude 5,0.10812559561140937,Alright,0.10140553429518727,Bonin' In The Boneyard,0.4012205699845248,Rockin' Pneumonia,0.3329003209936156,Baby Help Me,0.2904871980281086,Bonin' In The Boneyard,0.41092873200223495,Rockin' Pneumonia,0.3453251607258264,Baby Help Me,0.32280468340119545
8,TRVKLGW12903CB4523,SOZCSPA12AB0185672,ARS8GNX1187B9B5141,The Black Keys,Aeroplane Blues,blues,Interlude 5,1486.0,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),1480.0,I Mean (I Don't Mean It),1471.0,I Mean (I Don't Mean It),1.7725562500000054,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),1.7192062499999985,I Wanna Know,1.7113250000000066,I Don't Know Where I'm Bound,0.7786412276587289,I Am Not A Whore,0.7519388605715477,16,0.7472018993356718,I Don't Know Where I'm Bound,0.7834660807446496,I Am Not A Whore,0.7553117160686514,16,0.7532525144739896,Otha Fish,69.94024940338288,8 Mile,69.23213744542862,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),66.17074759325435,Land Of The Free,0.06661892742848656,13 Months Of Sunshine,0.061751378794401776,Otha Fish,0.05984029047435122,13 Months Of Sunshine,0.3345186615012746,Sufferin' In The Land,0.30445558606159817,Masters Of Revenge,0.26373792901032383,13 Months Of Sunshine,0.35608490895083494,Sufferin' In The Land,0.32122032787994115,Elephant Clouds,0.2887049104200338
9,TRFBNZN128F9340B0E,SONGYFE12AB018562D,ARS8GNX1187B9B5141,The Black Keys,All Hands Against His Own,blues,Interlude 5,2681.0,I'm A Winner (Amended Album Version),1936.0,Man In The Mirror,1542.0,Interlude 5,2.9533499999999986,I'm A Winner (Amended Album Version),2.159959375000001,My Darling,1.6401984375000007,Give Me You,0.4733953967025422,The Stranger Song,0.47191782769568896,New Project,0.470474472286763,The Stranger Song,0.4971205446381256,Give Me You,0.4888152706435525,New Project,0.4878990560684231,She Got Kids,301.63555337323805,Brotha,269.3721923276803,Find A Way,243.82556760932928,She Got Kids,0.31520325407290994,Brotha,0.3107156256303426,Gehenna,0.27058793480735616,Outside The Trains Don't Run On Time,0.4603499476131241,Brotha,0.43906797282796367,GO,0.4155353689642399,Outside The Trains Don't Run On Time,0.4779317461993667,Brotha,0.4585728531941819,GO,0.4407217351770495
